15	10	E	-9223384.010276219	163
emissionprobs	4	5	H3K27ac	0	0.9975676684867291
emissionprobs	4	5	H3K27ac	1	0.0024323315132710075
emissionprobs	4	6	H3K27me3	0	0.9989493695347559
emissionprobs	4	6	H3K27me3	1	0.0010506304652441378
emissionprobs	4	7	H3K36me3	0	0.3664541301670925
emissionprobs	4	7	H3K36me3	1	0.6335458698329074
emissionprobs	4	8	H3K79me2	0	0.7776833516162058
emissionprobs	4	8	H3K79me2	1	0.2223166483837941
emissionprobs	4	9	H4K20me1	0	0.9554489786827426
emissionprobs	4	9	H4K20me1	1	0.04455102131725735
emissionprobs	5	0	H3K04me1	0	0.9878211507736872
emissionprobs	5	0	H3K04me1	1	0.012178849226312965
emissionprobs	5	1	H3K04me2	0	0.9998860929178066
emissionprobs	5	1	H3K04me2	1	1.1390708219343863E-4
emissionprobs	5	2	H3K04me3	0	0.9999849470968903
emissionprobs	5	2	H3K04me3	1	1.5052903109672008E-5
emissionprobs	5	3	H3K09ac	0	0.9996729618253538
emissionprobs	5	3	H3K09ac	1	3.2703817464618075E-4
emissionprobs	5	4	H3K09me3	0	0.9977506363492139
emissionprobs	5	4	H3K09me3	1	0.002249363650786056
emissionprobs	5	5	H3K27ac	0	0.9993079903212959
emissionprobs	5	5	H3K27ac	1	6.920096787040623E-4
emissionprobs	5	6	H3K27me3	0	0.9999589632300844
emissionprobs	5	6	H3K27me3	1	4.10367699155609E-5
emissionprobs	5	7	H3K36me3	0	0.7889231077813038
emissionprobs	5	7	H3K36me3	1	0.2110768922186962
emissionprobs	5	8	H3K79me2	0	0.9643540031758262
emissionprobs	5	8	H3K79me2	1	0.035645996824173826
emissionprobs	5	9	H4K20me1	0	0.9784665886343614
emissionprobs	5	9	H4K20me1	1	0.021533411365638515
emissionprobs	6	0	H3K04me1	0	0.9530281313048622
emissionprobs	6	0	H3K04me1	1	0.04697186869513783
emissionprobs	6	1	H3K04me2	0	0.99949492732351
emissionprobs	6	1	H3K04me2	1	5.050726764899544E-4
emissionprobs	6	2	H3K04me3	0	0.9999492162550297
emissionprobs	6	2	H3K04me3	1	5.078374497021582E-5
emissionprobs	6	3	H3K09ac	0	0.9995242605146297
emissionprobs	6	3	H3K09ac	1	4.757394853702641E-4
emissionprobs	6	4	H3K09me3	0	0.9913171156648819
emissionprobs	6	4	H3K09me3	1	0.008682884335118103
emissionprobs	6	5	H3K27ac	0	0.9990868547711268
emissionprobs	6	5	H3K27ac	1	9.131452288731843E-4
emissionprobs	6	6	H3K27me3	0	0.9999254960508919
emissionprobs	6	6	H3K27me3	1	7.450394910811095E-5
emissionprobs	6	7	H3K36me3	0	0.7891951620142877
emissionprobs	6	7	H3K36me3	1	0.21080483798571228
emissionprobs	6	8	H3K79me2	0	0.33166561845090536
emissionprobs	6	8	H3K79me2	1	0.6683343815490945
emissionprobs	6	9	H4K20me1	0	0.890679609904719
emissionprobs	6	9	H4K20me1	1	0.10932039009528098
emissionprobs	7	0	H3K04me1	0	0.19568477485338212
emissionprobs	7	0	H3K04me1	1	0.8043152251466178
emissionprobs	7	1	H3K04me2	0	0.7625448646905815
emissionprobs	7	1	H3K04me2	1	0.2374551353094185
emissionprobs	7	2	H3K04me3	0	0.9804335471203003
emissionprobs	7	2	H3K04me3	1	0.019566452879699686
emissionprobs	7	3	H3K09ac	0	0.9311413315474645
emissionprobs	7	3	H3K09ac	1	0.06885866845253544
emissionprobs	7	4	H3K09me3	0	0.9898798156866537
emissionprobs	7	4	H3K09me3	1	0.010120184313346235
emissionprobs	7	5	H3K27ac	0	0.935924129774821
emissionprobs	7	5	H3K27ac	1	0.064075870225179
emissionprobs	7	6	H3K27me3	0	0.999901861377819
emissionprobs	7	6	H3K27me3	1	9.813862218096121E-5
emissionprobs	7	7	H3K36me3	0	0.7199930382470765
emissionprobs	7	7	H3K36me3	1	0.28000696175292344
emissionprobs	7	8	H3K79me2	0	0.11217777613832176
emissionprobs	7	8	H3K79me2	1	0.8878222238616782
emissionprobs	7	9	H4K20me1	0	0.7705369116258742
emissionprobs	7	9	H4K20me1	1	0.2294630883741258
emissionprobs	8	0	H3K04me1	0	0.4897719683474885
emissionprobs	8	0	H3K04me1	1	0.5102280316525115
emissionprobs	8	1	H3K04me2	0	0.9793908211121707
emissionprobs	8	1	H3K04me2	1	0.020609178887829302
emissionprobs	8	2	H3K04me3	0	0.9993841569197195
emissionprobs	8	2	H3K04me3	1	6.158430802804911E-4
emissionprobs	8	3	H3K09ac	0	0.9885817598892942
emissionprobs	8	3	H3K09ac	1	0.01141824011070582
emissionprobs	8	4	H3K09me3	0	0.9907020688178517
emissionprobs	8	4	H3K09me3	1	0.009297931182148216
emissionprobs	8	5	H3K27ac	0	0.9859155688660872
emissionprobs	8	5	H3K27ac	1	0.014084431133912797
emissionprobs	8	6	H3K27me3	0	0.9987060131506422
emissionprobs	8	6	H3K27me3	1	0.0012939868493578562
emissionprobs	8	7	H3K36me3	0	0.9844154194607604
emissionprobs	8	7	H3K36me3	1	0.015584580539239591
emissionprobs	8	8	H3K79me2	0	0.9884739902123242
emissionprobs	8	8	H3K79me2	1	0.011526009787675815
emissionprobs	8	9	H4K20me1	0	0.9950895611441789
emissionprobs	8	9	H4K20me1	1	0.004910438855821102
emissionprobs	9	0	H3K04me1	0	0.05925078532432686
emissionprobs	9	0	H3K04me1	1	0.9407492146756732
emissionprobs	9	1	H3K04me2	0	0.664360710119951
emissionprobs	9	1	H3K04me2	1	0.3356392898800489
emissionprobs	9	2	H3K04me3	0	0.978970598459922
emissionprobs	9	2	H3K04me3	1	0.0210294015400781
emissionprobs	9	3	H3K09ac	0	0.3817977774996985
emissionprobs	9	3	H3K09ac	1	0.6182022225003014
emissionprobs	9	4	H3K09me3	0	0.9634805930478342
emissionprobs	9	4	H3K09me3	1	0.03651940695216587
emissionprobs	9	5	H3K27ac	0	0.45330521472518015
emissionprobs	9	5	H3K27ac	1	0.5466947852748198
emissionprobs	9	6	H3K27me3	0	0.9998104881929791
emissionprobs	9	6	H3K27me3	1	1.8951180702081482E-4
emissionprobs	9	7	H3K36me3	0	0.8900376848554485
emissionprobs	9	7	H3K36me3	1	0.10996231514455142
emissionprobs	9	8	H3K79me2	0	0.9266164255506183
emissionprobs	9	8	H3K79me2	1	0.07338357444938172
emissionprobs	9	9	H4K20me1	0	0.992332937267144
emissionprobs	9	9	H4K20me1	1	0.00766706273285612
emissionprobs	10	0	H3K04me1	0	0.05474846862695951
emissionprobs	10	0	H3K04me1	1	0.9452515313730405
emissionprobs	10	1	H3K04me2	0	3.5908308798548094E-7
emissionprobs	10	1	H3K04me2	1	0.9999996409169121
emissionprobs	10	2	H3K04me3	0	0.17739173261919783
emissionprobs	10	2	H3K04me3	1	0.8226082673808022
emissionprobs	10	3	H3K09ac	0	0.03685197668649278
emissionprobs	10	3	H3K09ac	1	0.9631480233135072
